id,character,readings,shapes,components,strokes,radical_reading,radical_character,drawing,unicode
2144,縄,mẫn thằng,⿰,糸日电,15.0,mịch,糸,フフ丶丶丶丶丨フ一一丨フ一一フ,U+7E04
2145,畷,chuyết,⿰,田叕,13.0,điền,田,丨フ一丨一フ丶フ丶フ丶フ丶,U+7577
2146,南,na nam,⿱,十冂干,9.0,thập,十,一丨丨フ丶ノ一一丨,U+5357
2147,楠,nam,⿰,木南,13.0,mộc,木,一丨ノ丶一丨丨フ丶ノ一一丨,U+6960
2148,軟,nhuyễn,⿰,車欠,11.0,xa,車,一丨フ一一一丨ノフノ丶,U+8EDF
2149,難,na nan nạn,⿰,艸口夫隹,19.0,chuy,隹,一丨丨一丨フ一一一ノ丶ノ丨丶一一一丨一,U+96E3
2150,汝,nhữ,⿰,⺡女,6.0,thuỷ,水,丶丶一フノ一,U+6C5D
2151,二,nhị,⿱,一,2.0,nhị,二,一一,U+4E8C
2152,尼,ni nê nật nặc nệ,⿸,尸匕,5.0,thi,尸,フ一ノノフ,U+5C3C
2153,弐,nhị,⿻,弍一,6.0,dặc,弋,一一一一フ丶,U+5F10
2154,迩,nhĩ,⿺,辶尔,8.0,sước,辵,ノフ丨ノ丶丶フ丶,U+8FE9
2155,匂,cái,⿹,勹匕,4.0,bao,勹,ノフノフ,U+5302
2156,賑,chẩn,⿰,貝辰,14.0,bối,貝,丨フ一一一ノ丶一ノ一一フノ丶,U+8CD1
2157,肉,nhụ nhục nậu,⿵,冂人,6.0,nhục,肉,丨フノ丶ノ丶,U+8089
2158,虹,hống hồng,⿰,虫工,9.0,trùng,虫,丨フ一丨一丶一丨一,U+8679
2159,廿,chấp nhập trấp,⿻,廿,4.0,củng,廾,一丨丨一,U+5EFF
2160,日,nhật nhựt,⿻,日,4.0,nhật,日,丨フ一一,U+65E5
2161,乳,nhũ,⿰,孚乚,8.0,ất,乙,ノ丶丶ノフ丨一フ,U+4E73
2162,入,nhập,⿻,入,2.0,nhập,入,ノ丶,U+5165
2163,如,như,⿰,女口,6.0,nữ,女,フノ一丨フ一,U+5982
2164,尿,niếu niệu tuy,⿸,尸水,7.0,thi,尸,フ一ノ丨フノ丶,U+5C3F
2165,韮,cửu phỉ,⿱,艹韭,12.0,cửu,韭,一丨丨丨一一一丨一一一一,U+97EE
2166,任,nhiệm nhâm nhậm,⿰,亻壬,6.0,nhân,人,ノ丨ノ一丨一,U+4EFB
2167,妊,nhâm nhậm,⿰,女壬,7.0,nữ,女,フノ一ノ一丨一,U+598A
2168,忍,nhẫn,⿱,刃心,7.0,tâm,心,フノ丶丶フ丶丶,U+5FCD
2169,認,nhận,⿰,言忍,14.0,ngôn,言,丶一一一丨フ一フノ丶丶フ丶丶,U+8A8D
2170,濡,nhi nhu nhuyên,⿰,⺡需,17.0,thuỷ,水,丶丶一一丶フ丨丶丶丶丶一ノ丨フ丨丨,U+6FE1
2171,禰,nễ nỉ,⿰,⺭爾,18.0,kỳ,示,丶フ丨丶一ノ丶丨フ丨ノ丶ノ丶ノ丶ノ丶,U+79B0
2172,祢,nễ nỉ,⿰,⺭尔,9.0,kỳ,示,丶フ丨丶ノフ丨ノ丶,U+7962
2173,寧,ninh trữ,⿱,寍丁,14.0,miên,宀,丶丶フ丶フ丶丶丨フ丨丨一一丨,U+5BE7
2174,葱,song thông,⿱,艹怱,12.0,thảo,艸,一丨丨ノフノノ丶丶フ丶丶,U+8471
2175,猫,miêu,⿰,⺨苗,11.0,khuyển,犬,ノフノ一丨丨丨フ一丨一,U+732B
2176,熱,nhiệt,⿱,埶灬,15.0,hoả,火,一丨一ノ丶一丨一ノフ丶丶丶丶丶,U+71B1
2177,年,niên,⿻,年,6.0,can,干,ノ一一丨一丨,U+5E74
2178,念,niệm,⿱,今心,8.0,tâm,心,ノ丶丶フ丶フ丶丶,U+5FF5
2179,捻,nhiên niêm niễn niệm niệp nẫm,⿰,⺘念,11.0,thủ,手,一丨一ノ丶丶フ丶フ丶丶,U+637B
2180,撚,nhiên niên niết niển niễn niệm niệp,⿰,⺘然,15.0,thủ,手,一丨一ノフ丶丶一ノ丶丶丶丶丶丶,U+649A
2181,燃,nhiên,⿰,火然,16.0,hoả,火,丶ノノ丶ノフ丶丶一ノ丶丶丶丶丶丶,U+71C3
2182,粘,niêm,⿰,米占,11.0,mễ,米,丶ノ一丨ノ丶丨一丨フ一,U+7C98
2183,乃,nãi ái,⿻,乃,2.0,triệt,丿,フノ,U+4E43
2184,廼,nãi,⿺,廴西,8.0,dẫn,廴,一丨フノフ一フ丶,U+5EFC
2185,之,chi,⿻,之,3.0,triệt,丿,丶フ丶,U+4E4B
2186,埜,dã,⿱,林土,11.0,thổ,土,一丨ノ丶一丨ノ丶一丨一,U+57DC
2187,嚢,nang,⿱,一中冖八井,18.0,khẩu,口,一丨フ一丨丶フノ丶一一丨丨一ノフノ丶,U+56A2
2188,悩,não,⿰⿱,⺖⺍凶,10.0,tâm,心,丶丶丨丶丶ノノ丶フ丨,U+60A9
2189,濃,nùng,⿰,⺡農,16.0,thuỷ,水,丶丶一丨フ一丨丨一一ノ一一フノ丶,U+6FC3
2190,納,nạp,⿰,糹内,10.0,mịch,糸,フフ丶丶丶丶丨フノ丶,U+7D0D
2191,能,nai năng nại,⿰⿱,䏍匕匕,10.0,nhục,肉,フ丶丨フ一一ノフノフ,U+80FD
2192,脳,não,⿰⿱,月⺍凶,11.0,nhục,肉,ノフ一一丶丶ノノ丶フ丨,U+8133
2193,膿,nung nùng,⿰,月農,17.0,nhục,肉,ノフ一一丨フ一丨丨一一ノ一一フノ丶,U+81BF
2194,農,nông,⿱,曲辰,13.0,thần,辰,丨フ一丨丨一一ノ一一フノ丶,U+8FB2
2195,覗,tư,⿰,司見,12.0,kiến,見,フ一丨フ一丨フ一一一ノフ,U+8997
2196,蚤,tảo,⿱,㕚虫,9.0,trùng,虫,フ丶丶丨フ一丨一丶,U+86A4
2197,巴,ba,⿻,己,4.0,kỷ,己,フ丨一フ,U+5DF4
2198,把,bà bá bả,⿰,⺘巴,7.0,thủ,手,一丨一フ丨一フ,U+628A
2199,播,bá bả,⿰,⺘番,15.0,thủ,手,一丨一ノ丶ノ一丨ノ丶丨フ一丨一,U+64AD
2200,覇,bá phách,⿱⿰,覀革月,19.0,á,襾,一丨フ丨丨一一丨丨一丨フ一一丨ノフ一一,U+8987
2201,杷,ba bà bá,⿰,木巴,8.0,mộc,木,一丨ノ丶フ丨一フ,U+6777
2202,波,ba,⿰,⺡皮,8.0,thuỷ,水,丶丶一フノ丨フ丶,U+6CE2
2203,派,ba phái,⿰,⺡𠂢,9.0,thuỷ,水,丶丶一ノノノフノ丶,U+6D3E
2204,琶,bà,⿱,玨巴,12.0,ngọc,玉,一一丨一一一丨一フ丨一フ,U+7436
2205,破,phá,⿰,石皮,10.0,thạch,石,一ノ丨フ一フノ丨フ丶,U+7834
2206,婆,bà,⿱,波女,11.0,nữ,女,丶丶一フノ丨フ丶フノ一,U+5A46
2207,罵,mạ,⿱,⺲馬,15.0,võng,网,丨フ丨丨一一丨一一丨フ丶丶丶丶,U+7F75
2208,芭,ba,⿱,艹巴,7.0,thảo,艸,一丨丨フ丨一フ,U+82AD
2209,馬,mã,⿻,馬,10.0,mã,馬,一丨一一丨フ丶丶丶丶,U+99AC
2210,俳,bài bồi,⿰,亻非,10.0,nhân,人,ノ丨丨一一一丨一一一,U+4FF3
2211,廃,phế,⿸,广発,12.0,nghiễm,广,丶一ノフ丶ノノ丶一一ノフ,U+5EC3
2212,拝,bái,⿰⿱,⺘一丰,8.0,thủ,手,一丨一一一一一丨,U+62DD
2213,排,bài,⿰,⺘非,11.0,thủ,手,一丨一丨一一一丨一一一,U+6392
2214,敗,bại,⿰,貝攵,11.0,phác,攴,丨フ一一一ノ丶ノ一ノ丶,U+6557
2215,杯,bôi,⿰,木不,8.0,mộc,木,一丨ノ丶一ノ丨丶,U+676F
2216,盃,bôi,⿱,不皿,9.0,mẫn,皿,一ノ丨丶丨フ丨丨一,U+76C3
2217,牌,bài,⿰,片卑,12.0,phiến,片,ノ丨一フノ丨フ一一ノ一丨,U+724C
2218,背,bắc bối bội,⿱,北月,9.0,nhục,肉,丨一一ノフ丨フ一一,U+80CC
2219,肺,bái phế,⿰,月巿,8.0,nhục,肉,ノフ一一一丨フ丨,U+80BA
2220,輩,bối,⿱,非車,15.0,xa,車,丨一一一丨一一一一丨フ一一一丨,U+8F29
2221,配,phối,⿰,酉己,10.0,dậu,酉,一丨フノフ一一フ一フ,U+914D
2222,倍,bội,⿰,亻咅,10.0,nhân,人,ノ丨丶一丶ノ一丨フ一,U+500D
2223,培,bẫu bậu bồi,⿰,土咅,11.0,thổ,土,一丨一丶一丶ノ一丨フ一,U+57F9
2224,媒,môi,⿰,女某,12.0,nữ,女,フノ一一丨丨一一一丨ノ丶,U+5A92
2225,梅,mai,⿰,木每,11.0,mộc,木,一丨ノ丶ノ一フフ丶一丶,U+6885
2226,楳,kì mai,⿰,木某,13.0,mộc,木,一丨ノ丶一丨丨一一一丨ノ丶,U+6973
2227,煤,môi,⿰,火某,13.0,hoả,火,丶ノノ丶一丨丨一一一丨ノ丶,U+7164
2228,狽,bái,⿰,⺨貝,10.0,khuyển,犬,ノフノ丨フ一一一ノ丶,U+72FD
2229,買,mãi,⿱,罒貝,12.0,bối,貝,丨フ丨丨一丨フ一一一ノ丶,U+8CB7
2230,売,mại,⿱,士冗,7.0,sĩ,士,一丨一丶フノフ,U+58F2
2231,賠,bồi,⿰,貝咅,15.0,bối,貝,丨フ一一一ノ丶丶一丶ノ一丨フ一,U+8CE0
2232,陪,bồi,⿰,⻖咅,10.0,phụ,阜,フ丨丶一丶ノ一丨フ一,U+966A
2233,這,giá nghiện,⿺,辶言,10.0,sước,辵,丶一一一丨フ一丶フ丶,U+9019
2234,蝿,dăng,⿰,虫日电,15.0,trùng,虫,丨フ一丨一丶丨フ一一丨フ一一フ,U+877F
2235,秤,xứng,⿰,禾平,10.0,hoà,禾,ノ一丨ノ丶一丶ノ一丨,U+79E4
2236,矧,thẩn,⿰,矢引,9.0,thỉ,矢,ノ一一ノ丶フ一フ丨,U+77E7
2237,萩,thu,⿱,艹秋,12.0,thảo,艸,一丨丨ノ一丨ノ丶丶ノノ丶,U+8429
2238,伯,bá bách,⿰,亻白,7.0,nhân,人,ノ丨ノ丨フ一一,U+4F2F
2239,剥,bác,⿰,录⺉,10.0,đao,刀,フ一一丨丶一ノ丶丨丨,U+5265
2240,博,bác,⿰,十尃,12.0,thập,十,一丨一丨フ一一丨丶一丨丶,U+535A
2241,拍,bác phách,⿰,⺘白,8.0,thủ,手,一丨一ノ丨フ一一,U+62CD
2242,柏,bá bách,⿰,木白,9.0,mộc,木,一丨ノ丶ノ丨フ一一,U+67CF
2243,泊,bạc phách,⿰,⺡白,8.0,thuỷ,水,丶丶一ノ丨フ一一,U+6CCA
2244,白,bạch,⿻,日,5.0,bạch,白,ノ丨フ一一,U+767D
2245,箔,bạc,⿱,⺮泊,14.0,trúc,竹,ノ一丶ノ一丶丶丶一ノ丨フ一一,U+7B94
2246,粕,phách,⿰,米白,11.0,mễ,米,丶ノ一丨ノ丶ノ丨フ一一,U+7C95
2247,舶,bạc bạch,⿰,舟白,11.0,chu,舟,ノノフ丶一丶ノ丨フ一一,U+8236
2248,薄,bác bạc,⿱,艹溥,16.0,thảo,艸,一丨丨丶丶一一丨フ一一丨丶一丨丶,U+8584
2249,迫,bài bách,⿺,辶白,8.0,sước,辵,ノ丨フ一一丶フ丶,U+8FEB
2250,曝,bộc,⿰,日暴,19.0,nhật,日,丨フ一一丨フ一一一丨丨一ノ丶丨丶一ノ丶,U+66DD
2251,漠,mạc,⿰,⺡莫,13.0,thuỷ,水,丶丶一一丨丨丨フ一一一ノ丶,U+6F20
2252,爆,bạc bạo bộc,⿰,火暴,19.0,hoả,火,丶ノノ丶丨フ一一一丨丨一ノ丶丨丶一ノ丶,U+7206
2253,縛,phược phọc,⿰,糹尃,16.0,mịch,糸,フフ丶丶丶丶一丨フ一一丨丶一丨丶,U+7E1B
2254,莫,bá mạc mạch mịch mộ,⿱,艹旲,10.0,thảo,艸,一丨丨丨フ一一一ノ丶,U+83AB
2255,駁,bác,⿰,馬爻,14.0,mã,馬,一丨一一丨フ丶丶丶丶ノ丶ノ丶,U+99C1
2256,麦,mạch,⿱,龶夂,7.0,mạch,麥,一一丨一ノフ丶,U+9EA6
2257,函,hàm,⿶,丂凵,8.0,khảm,凵,フ丨丶一ノ丶フ丨,U+51FD
2258,箱,sương tương,⿱,⺮相,15.0,trúc,竹,ノ一丶ノ一丶一丨ノ丶丨フ一一一,U+7BB1
2259,硲,cốc dục,⿰,石谷,12.0,thạch,石,一ノ丨フ一ノ丶ノ丶丨フ一,U+7872
2260,箸,trợ trứ,⿱,⺮者,14.0,trúc,竹,ノ一丶ノ一丶一丨一ノ丨フ一一,U+7BB8
2261,肇,triệu,⿱,𢼄聿,14.0,duật,聿,丶フ一ノノ一ノ丶フ一一一一丨,U+8087
2262,筈,quát,⿱,⺮舌,12.0,trúc,竹,ノ一丶ノ一丶ノ一丨丨フ一,U+7B48
2263,櫨,lô,⿰,木盧,20.0,mộc,木,一丨ノ丶丨一フノ一フ丨フ一丨一丨フ丨丨一,U+6AE8
2264,幡,phan phiên,⿰,巾番,15.0,cân,巾,丨フ丨ノ丶ノ一丨ノ丶丨フ一丨一,U+5E61
2265,肌,cơ,⿰,月几,6.0,nhục,肉,ノフ一一ノフ,U+808C
2266,畑,đèn,⿰,火田,9.0,hoả,火,丶ノノ丶丨フ一丨一,U+7551
2267,畠,tai tri,⿱,白田,10.0,bạch,白,ノ丨フ一一丨フ一丨一,U+7560
2268,八,bát,⿻,八,2.0,bát,八,ノ丶,U+516B
2269,鉢,bát,⿰,金本,13.0,kim,金,ノ丶一一丨丶ノ一一丨ノ丶一,U+9262
2270,溌,bát,⿰,⺡発,12.0,thuỷ,水,丶丶一フ丶ノノ丶一一ノフ,U+6E8C
2271,発,phát,⿱,二儿,9.0,bát,癶,フ丶ノノ丶一一ノフ,U+767A
2272,醗,bát phát,⿰,酉発,16.0,dậu,酉,一丨フノフ一一フ丶ノノ丶一一ノフ,U+9197
2273,髪,phát,⿱,髟友,14.0,tiêu,髟,一丨一一一フ丶ノノノ一ノフ丶,U+9AEA
2274,伐,phạt,⿰,亻戈,6.0,nhân,人,ノ丨一フノ丶,U+4F10
2275,罰,phạt,⿰,䚯网言刂,14.0,võng,网,丨フ丨丨一丶一一一丨フ一丨丨,U+7F70
2276,抜,bạt bội,⿰,⺘友,7.0,thủ,手,一丨一一ノフ丶,U+629C
2277,筏,phiệt phạt,⿱,⺮伐,12.0,trúc,竹,ノ一丶ノ一丶ノ丨一フノ丶,U+7B4F
2278,閥,phiệt,⿵,門伐,14.0,môn,門,丨フ一一丨フ一一ノ丨一フノ丶,U+95A5
2279,鳩,cưu,⿰,九鳥,13.0,điểu,鳥,ノフノ丨フ一一一フ丶丶丶丶,U+9CE9
2280,噺,chuyện,⿰,口新斤立木亲,16.0,khẩu,口,丨フ一丶一丶ノ一一丨ノフノノ一丨,U+567A
2281,塙,sác xác,⿰,土高,13.0,thổ,土,一丨一丶一丨フ一丨フ丨フ一,U+5859
2282,蛤,cáp,⿰,虫合,12.0,trùng,虫,丨フ一丨一丶ノ丶一丨フ一,U+86E4
2283,隼,chuẩn,⿱,隹十,10.0,chuy,隹,ノ丨丶一一一丨一一丨,U+96BC
2284,伴,bạn phán,⿰,亻半,7.0,nhân,人,ノ丨丶ノ一一丨,U+4F34
2285,判,phán,⿰,半⺉,7.0,đao,刀,丶ノ一一ノ丨丨,U+5224
2286,半,bán,⿱,十,5.0,thập,十,丶ノ一一丨,U+534A
2287,反,phiên phiến phản,⿸,𠂆又,4.0,hựu,又,ノノフ丶,U+53CD
2288,叛,bạn phán,⿰,半反,9.0,hựu,又,丶ノ一一ノノノフ丶,U+53DB
2289,帆,phàm phâm,⿰,巾凡,6.0,cân,巾,丨フ丨ノフ丶,U+5E06
2290,搬,ban bàn,⿰,⺘般,13.0,thủ,手,一丨一ノノフ丶一丶ノフフ丶,U+642C
2291,斑,ban,⿲,王文王,12.0,văn,文,一一丨一丶一ノ丶一一丨一,U+6591
2292,板,bản,⿰,木反,8.0,mộc,木,一丨ノ丶ノノフ丶,U+677F
2293,氾,phiếm,⿰,⺡㔾,5.0,thuỷ,水,丶丶一フフ,U+6C3E
2294,汎,phiếm phùng phạp,⿰,⺡凡,6.0,thuỷ,水,丶丶一ノフ丶,U+6C4E
2295,版,bản,⿰,片反,8.0,phiến,片,ノ丨一フノノフ丶,U+7248
2296,犯,phạm,⿰,⺨㔾,5.0,khuyển,犬,ノフノフフ,U+72AF
2297,班,ban,⿲⿰,王丶丿王,10.0,ngọc,玉,一一丨一丶ノ一一丨一,U+73ED
2298,畔,bạn,⿰,田半,10.0,điền,田,丨フ一丨一丶ノ一一丨,U+7554
2299,繁,bà bàn phiền phồn,⿱,敏糹,17.0,mịch,糸,ノ一フフ丶一丶ノ一ノ丶フフ丶丨ノ丶,U+7E41
2300,般,ban bàn bát,⿰,舟殳,10.0,chu,舟,ノノフ丶一丶ノフフ丶,U+822C
2301,藩,phan phiên,⿱,艹潘,18.0,thảo,艸,一丨丨丶丶一ノ丶ノ一丨ノ丶丨フ一丨一,U+85E9
2302,販,phiến phán,⿰,貝反,11.0,bối,貝,丨フ一一一ノ丶ノノフ丶,U+8CA9
2303,範,phạm,⿱⿰,⺮車㔾,15.0,trúc,竹,ノ一丶ノ一丶一丨フ一一一丨フフ,U+7BC4
2304,釆,biện,⿻,釆,7.0,biện,釆,ノ丶ノ一丨ノ丶,U+91C6
2305,煩,phiền,⿰,火頁,13.0,hoả,火,丶ノノ丶一ノ丨フ一一一ノ丶,U+7169
2306,頒,ban phân phần,⿰,分頁,13.0,hiệt,頁,ノ丶フノ一ノ丨フ一一一ノ丶,U+9812
2307,飯,phãn phạn,⿰,飠反,12.0,thực,食,ノ丶丶フ一一フ丶ノノフ丶,U+98EF
2308,挽,vãn,⿰,⺘免,10.0,thủ,手,一丨一ノフ丨フ一ノフ,U+633D
2309,晩,vãn,⿰,日免,12.0,nhật,日,丨フ一一ノフ丨フ丨一ノフ,U+6669
2310,番,ba bà phan phiên,⿱,釆田,12.0,điền,田,ノ丶ノ一丨ノ丶丨フ一丨一,U+756A
2311,盤,bàn,⿱,般皿,15.0,mẫn,皿,ノノフ丶一丶ノフフ丶丨フ丨丨一,U+76E4
2312,磐,bàn,⿱,般石,15.0,thạch,石,ノノフ丶一丶ノフフ丶一ノ丨フ一,U+78D0
2313,蕃,phiên phiền phồn,⿱,艹番,15.0,thảo,艸,一丨丨ノ丶ノ一丨ノ丶丨フ一丨一,U+8543
2314,蛮,man,⿱,亦虫,12.0,trùng,虫,丶一丨丨ノ丶丨フ一丨一丶,U+86EE
2315,匪,phỉ,⿷,匚非,10.0,phương,匚,一丨一一一丨一一一フ,U+532A
2316,卑,ti ty,⿱,甶丿十田,8.0,thập,十,ノ丨フ一一ノ一丨,U+5351
2317,否,bĩ bỉ phầu phủ,⿱,不口,7.0,khẩu,口,一ノ丨丶丨フ一,U+5426
2318,妃,phi phối,⿰,女己,6.0,nữ,女,フノ一フ一フ,U+5983
2319,庇,tí tý,⿸,广比,7.0,nghiễm,广,丶一ノ一フノフ,U+5E87
2320,彼,bỉ,⿰,彳皮,8.0,xích,彳,ノノ丨フノ丨フ丶,U+5F7C
2321,悲,bi,⿱,非心,12.0,tâm,心,丨一一一丨一一一丶フ丶丶,U+60B2
2322,扉,phi,⿸,户非,12.0,hộ,戶,丶フ一ノ丨一一一丨一一一,U+6249
2323,批,phê,⿰,⺘比,7.0,thủ,手,一丨一一フノフ,U+6279
2324,披,bia phi,⿰,⺘皮,8.0,thủ,手,一丨一フノ丨フ丶,U+62AB
2325,斐,phi phỉ,⿱,非文,12.0,văn,文,丨一一一丨一一一丶一ノ丶,U+6590
2326,比,bì bí bỉ tỉ tỵ tỷ,⿰,匕,4.0,tỷ,比,一フノフ,U+6BD4
2327,泌,bí,⿰,⺡必,8.0,thuỷ,水,丶丶一丶フ丶ノ丶,U+6CCC
2328,疲,bì,⿸,疒皮,10.0,nạch,疒,丶一ノ丶一フノ丨フ丶,U+75B2
2329,皮,bì,⿸,厂攴,5.0,bì,皮,フノ丨フ丶,U+76AE
2330,碑,bi,⿰,石卑,13.0,thạch,石,一ノ丨フ一ノ丨フ一一ノ一丨,U+7891
2331,秘,bí,⿰,禾必,10.0,hoà,禾,ノ一丨ノ丶丶フ丶ノ丶,U+79D8
2332,緋,phi,⿰,糹非,14.0,mịch,糸,フフ丶丶丶丶丨一一一丨一一一,U+7DCB
2333,罷,bãi bì,⿱,⺲能,15.0,võng,网,丨フ丨丨一フ丶丨フ一一ノフノフ,U+7F77
2334,肥,phì,⿰,月巴,8.0,nhục,肉,ノフ一一フ丨一フ,U+80A5
2335,被,bí bị phi,⿰,衤皮,10.0,y,衣,丶フ丨ノ丶フノ丨フ丶,U+88AB
2336,誹,phỉ,⿰,言非,15.0,ngôn,言,丶一一一丨フ一丨一一一丨一一一,U+8AB9
2337,費,bí bỉ phí phất phỉ,⿱,弗貝,12.0,bối,貝,フ一フノ丨丨フ一一一ノ丶,U+8CBB
2338,避,tị tỵ,⿺,辶辟,16.0,sước,辵,フ一ノ丨フ一丶一丶ノ一一丨丶フ丶,U+907F
2339,非,phi phỉ,⿰,非,8.0,phi,非,丨一一一丨一一一,U+975E
2340,飛,phi,⿹,升飞,9.0,phi,飛,フノ丶ノフノ丶ノ丨,U+98DB
2341,樋,thông,⿰,木通辵甬,14.0,mộc,木,一丨ノ丶フ丶丨フ一一丨丶フ丶,U+6A0B
2342,簸,bá,⿱,⺮𤿺,19.0,trúc,竹,ノ一丶ノ一丶一丨丨一一一ノ丶フノ丨フ丶,U+7C38
2343,備,bị,⿰,人艸厂用,12.0,nhân,人,ノ丨一丨丨一ノ丨フ一一丨,U+5099
2344,尾,vĩ,⿸,尸毛,7.0,thi,尸,フ一ノノ一一フ,U+5C3E
2345,微,vi vy,⿰,彳山兀攵,13.0,xích,彳,ノノ丨丨フ丨一ノフノ一ノ丶,U+5FAE
2346,枇,tì tỳ,⿰,木比,8.0,mộc,木,一丨ノ丶一フノフ,U+6787
2347,毘,bì tì tỳ,⿱,田比,9.0,tỷ,比,丨フ一丨一一フノフ,U+6BD8
2348,琵,tì tỳ,⿱,玨比,12.0,ngọc,玉,一一丨一一一丨一一フノフ,U+7435
2349,眉,mi my,⿸,𠃜目,9.0,mục,目,フ丨一ノ丨フ一一一,U+7709
2350,美,mĩ mỹ,⿱,𦍌大,9.0,dương,羊,丶ノ一一丨一一ノ丶,U+7F8E
2351,鼻,tì tị tỵ,⿱,自畀,14.0,tỵ,鼻,ノ丨フ一一一丨フ一丨一一ノ丨,U+9F3B
2352,柊,chung,⿰,木冬,9.0,mộc,木,一丨ノ丶ノフ丶丶丶,U+67CA
2353,稗,bại,⿰,禾卑,13.0,hoà,禾,ノ一丨ノ丶ノ丨フ一一ノ一丨,U+7A17
2354,匹,mộc thất,⿷,匚儿,4.0,hễ,匸,一ノフフ,U+5339
2355,疋,nhã sơ thất,⿻,疋,5.0,sơ,疋,フ丨一ノ丶,U+758B
2356,髭,tì tư tỳ,⿱,髟此,16.0,tiêu,髟,一丨一一一フ丶ノノノ丨一丨一ノフ,U+9AED
2357,彦,ngạn,⿸,产彡,9.0,sam,彡,丶一丶ノ一ノノノノ,U+5F66
2358,膝,tất,⿰,月桼,15.0,nhục,肉,ノフ一一一丨ノ丶ノ丶丨丶一ノ丶,U+819D
2359,菱,lăng,⿱,艹夌,11.0,thảo,艸,一丨丨一丨一ノ丶ノフ丶,U+83F1
2360,肘,chửu trửu,⿰,月寸,7.0,nhục,肉,ノフ一一一丨丶,U+8098
2361,弼,bật,⿲,弓百弓,12.0,cung,弓,フ一フ一ノ丨フ一一フ一フ,U+5F3C
2362,必,tất,⿻,心,5.0,tâm,心,丶フ丶ノ丶,U+5FC5
2363,畢,tất,⿱,田,10.0,điền,田,丨フ一一一丨丨一一丨,U+7562
2364,筆,bút,⿱,⺮聿,12.0,trúc,竹,ノ一丶ノ一丶フ一一一一丨,U+7B46
2365,逼,bức,⿺,辶畐,12.0,sước,辵,一丨フ一丨フ一丨一丶フ丶,U+903C
2366,桧,cối,⿰,木会,10.0,mộc,木,一丨ノ丶ノ丶一一フ丶,U+6867
2367,姫,cơ,⿰,女臣,9.0,nữ,女,フノ一一丨フ一丨フ,U+59EB
2368,媛,viên viện,⿰,女爰,12.0,nữ,女,フノ一ノ丶丶ノ一一ノフ丶,U+5A9B
2369,紐,nữu nựu,⿰,糹丑,10.0,mịch,糸,フフ丶丶丶丶フ丨一一,U+7D10
2370,百,bá bách mạch,⿱,一白,6.0,bạch,白,一ノ丨フ一一,U+767E
2371,謬,mậu,⿰,言翏,18.0,ngôn,言,丶一一一丨フ一フ丶一フ丶一ノ丶ノノノ,U+8B2C
2372,俵,biểu,⿰,亻表,10.0,nhân,人,ノ丨一一丨一ノフノ丶,U+4FF5
2373,彪,bưu,⿺,虎彡,11.0,sam,彡,丨一フノ一フノフノノノ,U+5F6A
2374,標,phiêu tiêu,⿰,木票,15.0,mộc,木,一丨ノ丶一丨フ丨丨一一一丨ノ丶,U+6A19
2375,氷,băng,⿱,水丶,5.0,thuỷ,水,丶丨フノ丶,U+6C37
2376,漂,phiêu phiếu xiếu,⿰,⺡票,14.0,thuỷ,水,丶丶一一丨フ丨丨一一一丨ノ丶,U+6F02
2377,瓢,biều,⿰,票瓜,16.0,qua,瓜,一丨フ丨丨一一一丨ノ丶ノノフ丶丶,U+74E2
2378,票,phiêu phiếu tiêu,⿱,覀示,11.0,kỳ,示,一丨フ丨丨一一一丨ノ丶,U+7968
2379,表,biểu,⿱,龶𧘇,8.0,y,衣,一一丨一ノフノ丶,U+8868
2380,評,bình,⿰,言平,12.0,ngôn,言,丶一一一丨フ一一丶ノ一丨,U+8A55
2381,豹,báo,⿰,豸勺,10.0,trĩ,豸,ノ丶丶ノフノノノフ丶,U+8C79
2382,廟,miếu,⿸,广朝,15.0,nghiễm,广,丶一ノ一丨丨フ一一一丨ノフ一一,U+5EDF
2383,描,miêu,⿰,⺘苗,11.0,thủ,手,一丨一一丨丨丨フ一丨一,U+63CF
2384,病,bệnh,⿸,疒丙,10.0,nạch,疒,丶一ノ丶一一丨フノ丶,U+75C5
2385,秒,miểu miễu,⿰,禾少,9.0,hoà,禾,ノ一丨ノ丶丨ノ丶ノ,U+79D2
2386,苗,miêu,⿱,艹田,8.0,thảo,艸,一丨丨丨フ一丨一,U+82D7
2387,錨,miêu,⿰,金苗,16.0,kim,金,ノ丶一一丨丶ノ一一丨丨丨フ一丨一,U+9328
2388,鋲,đinh,⿰,金兵,15.0,kim,金,ノ丶一一丨丶ノ一ノ丨一丨一ノ丶,U+92F2
2389,蒜,toán,⿱,艹祘,13.0,thảo,艸,一丨丨一一丨ノ丶一一丨ノ丶,U+849C
2390,蛭,điệt,⿰,虫至,12.0,trùng,虫,丨フ一丨一丶一フ丶一丨一,U+86ED
2391,鰭,kì kỳ,⿰,魚耆,21.0,ngư,魚,ノフ丨フ一丨一丶丶丶丶一丨一ノノフ丨フ一一,U+9C2D
2392,品,phẩm,⿱,口吅,9.0,khẩu,口,丨フ一丨フ一丨フ一,U+54C1
2393,彬,bân,⿰,林彡,11.0,sam,彡,一丨ノ丶一丨ノ丶ノノノ,U+5F6C
2394,斌,bân,⿰,文武,12.0,văn,文,丶一ノ丶一一丨一丨一フ丶,U+658C
